"Sample","site","chamberID","year","mon","mday","gasName","Location","SampleType","Run","id.x","time_label","peakArea","fname","Known.conc","id.y","diameter_cm","height_cm","area_m2","volume_m3","lon","lat","Easting","Northing","mmntID","date","startTime","Soil_moisture_.","Nitrate_conc_g_kg","Pressure","Temp","GC_filename.x","time_mins.x","sampleName.x","GC_filename.y","time_mins.y","sampleName.y","GC_filename","time_mins","sampleName","Sec"
"15","EB","04",2013,6,6,"CO2","P1-C-03",1,20,20,30,121.251045227051,"../data-raw/SRUC_template_GC_input.xlsx",NA,NA,39.9,25.16,0.125036173011037,0.0314591011295769,-3,56,5e+05,6e+05,"EB_2013_06_06_04",2013-06-06,1899-12-31 10:30:00,40.9,3,1000,15.9,"S:\GC\James_2013_06_06.xls",32,"EB_2013_06_06_04_30","S:\GC\James_2013_06_06.xls",32,"EB_2013_06_06_04_30","S:\GC\James_2013_06_06.xls",32,"EB_2013_06_06_04_30",1920
"16","EB","04",2013,6,6,"CH4","P1-C-04",1,21,21,45,3.90602540969849,"../data-raw/SRUC_template_GC_input.xlsx",NA,NA,39.9,25.16,0.125036173011037,0.0314591011295769,-3,56,5e+05,6e+05,"EB_2013_06_06_04",2013-06-06,1899-12-31 10:30:00,40.9,3,1000,15.9,"S:\GC\James_2013_06_06.xls",43,"EB_2013_06_06_04_45","S:\GC\James_2013_06_06.xls",43,"EB_2013_06_06_04_45","S:\GC\James_2013_06_06.xls",43,"EB_2013_06_06_04_45",2580
"16","EB","04",2013,6,6,"CO2","P1-C-04",1,21,21,45,125.991508483887,"../data-raw/SRUC_template_GC_input.xlsx",NA,NA,39.9,25.16,0.125036173011037,0.0314591011295769,-3,56,5e+05,6e+05,"EB_2013_06_06_04",2013-06-06,1899-12-31 10:30:00,40.9,3,1000,15.9,"S:\GC\James_2013_06_06.xls",43,"EB_2013_06_06_04_45","S:\GC\James_2013_06_06.xls",43,"EB_2013_06_06_04_45","S:\GC\James_2013_06_06.xls",43,"EB_2013_06_06_04_45",2580
"16","EB","04",2013,6,6,"N2O","P1-C-04",1,21,21,45,97.4292144775391,"../data-raw/SRUC_template_GC_input.xlsx",NA,NA,39.9,25.16,0.125036173011037,0.0314591011295769,-3,56,5e+05,6e+05,"EB_2013_06_06_04",2013-06-06,1899-12-31 10:30:00,40.9,3,1000,15.9,"S:\GC\James_2013_06_06.xls",43,"EB_2013_06_06_04_45","S:\GC\James_2013_06_06.xls",43,"EB_2013_06_06_04_45","S:\GC\James_2013_06_06.xls",43,"EB_2013_06_06_04_45",2580
"17","EB","05",2013,6,6,"CH4","P1-C-05",1,22,22,0,4.26460266113281,"../data-raw/SRUC_template_GC_input.xlsx",NA,NA,39.9,25.07,0.125036173011037,0.031346568573867,-3,56,5e+05,6e+05,"EB_2013_06_06_05",2013-06-06,1899-12-31 10:32:00,40.7,4,1000,16,"S:\GC\James_2013_06_06.xls",0,"EB_2013_06_06_05_00","S:\GC\James_2013_06_06.xls",0,"EB_2013_06_06_05_00","S:\GC\James_2013_06_06.xls",0,"EB_2013_06_06_05_00",0
"17","EB","05",2013,6,6,"N2O","P1-C-05",1,22,22,0,81.4620056152344,"../data-raw/SRUC_template_GC_input.xlsx",NA,NA,39.9,25.07,0.125036173011037,0.031346568573867,-3,56,5e+05,6e+05,"EB_2013_06_06_05",2013-06-06,1899-12-31 10:32:00,40.7,4,1000,16,"S:\GC\James_2013_06_06.xls",0,"EB_2013_06_06_05_00","S:\GC\James_2013_06_06.xls",0,"EB_2013_06_06_05_00","S:\GC\James_2013_06_06.xls",0,"EB_2013_06_06_05_00",0
"17","EB","05",2013,6,6,"CO2","P1-C-05",1,22,22,0,139.157821655273,"../data-raw/SRUC_template_GC_input.xlsx",NA,NA,39.9,25.07,0.125036173011037,0.031346568573867,-3,56,5e+05,6e+05,"EB_2013_06_06_05",2013-06-06,1899-12-31 10:32:00,40.7,4,1000,16,"S:\GC\James_2013_06_06.xls",0,"EB_2013_06_06_05_00","S:\GC\James_2013_06_06.xls",0,"EB_2013_06_06_05_00","S:\GC\James_2013_06_06.xls",0,"EB_2013_06_06_05_00",0
"18","EB","05",2013,6,6,"CO2","P1-C-06",1,23,23,15,128.215591430664,"../data-raw/SRUC_template_GC_input.xlsx",NA,NA,39.9,25.07,0.125036173011037,0.031346568573867,-3,56,5e+05,6e+05,"EB_2013_06_06_05",2013-06-06,1899-12-31 10:32:00,40.7,4,1000,16,"S:\GC\James_2013_06_06.xls",14,"EB_2013_06_06_05_15","S:\GC\James_2013_06_06.xls",14,"EB_2013_06_06_05_15","S:\GC\James_2013_06_06.xls",14,"EB_2013_06_06_05_15",840
"18","EB","05",2013,6,6,"CH4","P1-C-06",1,23,23,15,4.25592756271362,"../data-raw/SRUC_template_GC_input.xlsx",NA,NA,39.9,25.07,0.125036173011037,0.031346568573867,-3,56,5e+05,6e+05,"EB_2013_06_06_05",2013-06-06,1899-12-31 10:32:00,40.7,4,1000,16,"S:\GC\James_2013_06_06.xls",14,"EB_2013_06_06_05_15","S:\GC\James_2013_06_06.xls",14,"EB_2013_06_06_05_15","S:\GC\James_2013_06_06.xls",14,"EB_2013_06_06_05_15",840
"18","EB","05",2013,6,6,"N2O","P1-C-06",1,23,23,15,102.478233337402,"../data-raw/SRUC_template_GC_input.xlsx",NA,NA,39.9,25.07,0.125036173011037,0.031346568573867,-3,56,5e+05,6e+05,"EB_2013_06_06_05",2013-06-06,1899-12-31 10:32:00,40.7,4,1000,16,"S:\GC\James_2013_06_06.xls",14,"EB_2013_06_06_05_15","S:\GC\James_2013_06_06.xls",14,"EB_2013_06_06_05_15","S:\GC\James_2013_06_06.xls",14,"EB_2013_06_06_05_15",840
